Title;Year;Description;Img
3 Idiots;2009;"Rascal. Joker. Dreamer. Genius... You`ve never met a college student quite like ""Rancho."" From the moment he arrives at India`s most prestigious university, Rancho`s outlandish schemes turn the campus upside down—along with the lives of his two newfound best friends. Together, they make life miserable for ""Virus,"" the school’s uptight and heartless dean. But when Rancho catches the eye of the dean`s sexy daughter, Virus sets his sights on flunking out the ""3 idiots"" once and for all.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/66A9MqXOyVFCssoloscw79z8Tew.jpg
Requiem for a Dream;2000;The hopes and dreams of four ambitious people are shattered when their drug addictions begin spiraling out of control. A look into addiction and how it overcomes the mind and body.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nOd6vjEmzCT0k4VYqsA2hwyi87C.jpg
High and Low;1963;A shoe company executive who has mortgaged everything he has becomes a victim of extortion when his chauffeur`s son is kidnapped and is conflicted over whether he should pay the ransom.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tgNjemQPG96uIezpiUiXFcer5ga.jpg
Toy Story 3;2010;Woody, Buzz, and the rest of Andy`s toys haven`t been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/AbbXspMOwdvwWZgVN0nabZq03Ec.jpg
Capernaum;2018;Zain, a 12-year-old boy scrambling to survive on the streets of Beirut, sues his parents for having brought him into such an unjust world, where being a refugee with no documents means that your rights can easily be denied.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cqkqrIDzvkFRWVbRRQLqtkXQoPu.jpg
Star Wars: Episode VI - Return of the Jedi;1983;Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xxCnFmRZ83jHTZsBiceG4IBUGoq.jpg
2001: A Space Odyssey;1968;Humanity finds a mysterious object buried beneath the lunar surface and sets off to find its origins with the help of HAL 9000, the world`s most advanced super computer.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ve72VxNqjGM69Uky4WTo2bK6rfq.jpg
Eternal Sunshine of the Spotless Mind;2004;Joel Barish, heartbroken that his girlfriend underwent a procedure to erase him from her memory, decides to do the same. However, as he watches his memories of her fade away, he realises that he still loves her, and may be too late to correct his mistake.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5MwkWH9tYHv3mV9OdYTMR5qreIz.jpg
Come and See;1985;The invasion of a village in Byelorussia by German forces sends young Florya into the forest to join the weary Resistance fighters, against his family`s wishes. There he meets a girl, Glasha, who accompanies him back to his village. On returning home, Florya finds his family and fellow peasants massacred. His continued survival amidst the brutal debris of war becomes increasingly nightmarish, a battle between despair and hope.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/qNbMsKVzigERgJUbwf8pKyZogpb.jpg
Reservoir Dogs;1992;A botched robbery indicates a police informant, and the pressure mounts in the aftermath at a warehouse. Crime begets violence as the survivors -- veteran Mr. White, newcomer Mr. Orange, psychopathic parolee Mr. Blonde, bickering weasel Mr. Pink and Nice Guy Eddie -- unravel.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/n8O9WOAL1DVOMEQJpYatNqpNauK.jpg
The Hunt;2012;Twelve strangers wake up in a clearing. They don`t know where they are—or how they got there. In the shadow of a dark internet conspiracy theory, ruthless elitists gather at a remote location to hunt humans for sport. But their master plan is about to be derailed when one of the hunted turns the tables on her pursuers.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/wxPhn4ef1EAo5njxwBkAEVrlJJG.jpg
Lawrence of Arabia;1962;The story of British officer T.E. Lawrence`s mission to aid the Arab tribes in their revolt against the Ottoman Empire during the First World War. Lawrence becomes a flamboyant, messianic figure in the cause of Arab unity but his psychological instability threatens to undermine his achievements.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/AiAm0EtDvyGqNpVoieRw4u65vD1.jpg
Citizen Kane;1941;Newspaper magnate, Charles Foster Kane is taken from his mother as a boy and made the ward of a rich industrialist. As a result, every well-meaning, tyrannical or self-destructive move he makes for the rest of his life appears in some way to be a reaction to that deeply wounding event.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg
M;1931;Super-Hero partners Scott Lang and Hope van Dyne, along with with Hope`s parents Janet van Dyne and Hank Pym, and Scott`s daughter Cassie Lang, find themselves exploring the Quantum Realm, interacting with strange new creatures and embarking on an adventure that will push them beyond the limits of what they thought possible.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg
Ikiru;1952;Kanji Watanabe is a middle-aged man who has worked in the same monotonous bureaucratic position for decades. Learning he has cancer, he starts to look for the meaning of his life.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/dgNTS4EQDDVfkzJI5msKuHu2Ei3.jpg
North by Northwest;1959;Advertising man Roger Thornhill is mistaken for a spy, triggering a deadly cross-country chase.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8gvfRlVpcKaTVqipXpYOGWBN1aO.jpg
The Apartment;1960;Bud Baxter is a minor clerk in a huge New York insurance company, until he discovers a quick way to climb the corporate ladder. He lends out his apartment to the executives as a place to take their mistresses. Although he often has to deal with the aftermath of their visits, one night he`s left with a major problem to solve.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hhSRt1KKfRT0yEhEtRW3qp31JFU.jpg
Vertigo;1958;A retired San Francisco detective suffering from acrophobia investigates the strange activities of an old friend`s wife, all the while becoming dangerously obsessed with her.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/15uOEfqBNTVtDUT7hGBVCka0rZz.jpg
Amélie;2001;At a tiny Parisian café, the adorable yet painfully shy Amélie accidentally discovers a gift for helping others. Soon Amelie is spending her days as a matchmaker, guardian angel, and all-around do-gooder. But when she bumps into a handsome stranger, will she find the courage to become the star of her very own love story?;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/oTKduWL2tpIKEmkAqF4mFEAWAsv.jpg
Double Indemnity;1944;A rich woman and a calculating insurance agent plot to kill her unsuspecting husband after he signs a double indemnity policy. Against a backdrop of distinctly Californian settings, the partners in crime plan the perfect murder to collect the insurance, which pays double if the death is accidental.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kkfKLeOTo7RjS9TxHKpknlL7huS.jpg
A Clockwork Orange;1971;In a near-future Britain, young Alexander DeLarge and his pals get their kicks beating and raping anyone they please. When not destroying the lives of others, Alex swoons to the music of Beethoven. The state, eager to crack down on juvenile crime, gives an incarcerated Alex the option to undergo an invasive procedure that`ll rob him of all personal agency. In a time when conscience is a commodity, can Alex change his tune?;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4sHeTAp65WrSSuc05nRBKddhBxO.jpg
Full Metal Jacket;1987;A pragmatic U.S. Marine observes the dehumanizing effects the U.S.-Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/kMKyx1k8hWWscYFnPbnxxN4Eqo4.jpg
Scarface;1983;After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iQ5ztdjvteGeboxtmRdXEChJOHh.jpg
Hamilton;2020;Presenting the tale of American founding father Alexander Hamilton, this filmed version of the original Broadway smash hit is the story of America then, told by America now.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/h1B7tW0t399VDjAcWJh8m87469b.jpg
Incendies;2010;A mother`s last wishes send twins Jeanne and Simon on a journey to Middle East in search of their tangled roots. Adapted from Wajdi Mouawad`s acclaimed play, Incendies tells the powerful and moving tale of two young adults` voyage to the core of deep-rooted hatred, never-ending wars and enduring love.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/s65Pn9iDBsFXSn3C3hLxU5skRAD.jpg
Heat;1995;Obsessive master thief Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/umSVjVdbVwtx5ryCA2QXL44Durm.jpg
Up;2009;Carl Fredricksen spent his entire life dreaming of exploring the globe and experiencing life to its fullest. But at age 78, life seems to have passed him by, until a twist of fate (and a persistent 8-year old Wilderness Explorer named Russell) gives him a new lease on life.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mFvoEwSfLqbcWwFsDjQebn9bzFe.jpg
To Kill a Mockingbird;1962;Scout Finch, 6, and her older brother Jem live in sleepy Maycomb, Alabama, spending much of their time with their friend Dill and spying on their reclusive and mysterious neighbor, Boo Radley. When Atticus, their widowed father and a respected lawyer, defends a black man named Tom Robinson against fabricated rape charges, the trial and tangent events expose the children to evils of racism and stereotyping.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/o5icF9TCe8Ld5bWy19rPwsNyLLv.jpg
The Sting;1973;A novice con man teams up with an acknowledged master to avenge the murder of a mutual friend by pulling off the ultimate big con and swindling a fortune from a big-time mobster.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ckmYng37zey8INYf6d10cVgIG93.jpg
A Separation;2011;On a warm autumn day in 1990, Huixian, a young Chinese woman, arrives in Florida to reunite with her PhD husband, after a four-year separation. Filled with blossoming hope and desire, she is introduced to another side of American life.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fmngHGvRYC9wT3nEFOcVsXGp9pH.jpg
Metropolis;1927;In a futuristic city sharply divided between the rich and the poor, the son of the city`s mastermind meets a prophet who predicts the coming of a savior to mediate their differences.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pxbGZewX327IbTvrCVRJgcLJTSQ.jpg
L.A. Confidential;1997;Three detectives in the corrupt and brutal L.A. police force of the 1950s use differing methods to uncover a conspiracy behind the shotgun slayings of the patrons at an all-night diner.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/Rzope4Pk93Rg1Q2Ae8H0FYwa7n.jpg
Die Hard;1988;NYPD cop John McClane`s plan to reconcile with his estranged wife is thrown for a serious loop when, minutes after he arrives at her office, the entire building is overtaken by a group of terrorists. With little help from the LAPD, wisecracking McClane sets out to single-handedly rescue the hostages and bring the bad guys down.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pLjyTKKiY3LeSv10HGKn5nNSCfh.jpg
Taxi Driver;1976;A mentally unstable Vietnam War veteran works as a night-time taxi driver in New York City where the perceived decadence and sleaze feed his urge for violent action.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ekstpH614fwDX8DUln1a2Opz0N8.jpg
Indiana Jones and the Last Crusade;1989;In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man`s notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/riO8WLCG9BbuhQfBpbnXFKzBcgL.jpg
Snatch;2000;Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/56mOJth6DJ6JhgoE2jtpilVqJO.jpg
Bicycle Thieves;1948;Unemployed Antonio is elated when he finally finds work hanging posters around war-torn Rome. However on his first day, his bicycle—essential to his work—gets stolen. His job is doomed unless he can find the thief. With the help of his son, Antonio combs the city, becoming desperate for justice.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iPdVqIpmR3bRvOQJPrn4pr2KR3q.jpg
Like Stars on Earth;2007;"Ishaan Awasthi is an eight-year-old whose world is filled with wonders that no one else seems to appreciate. Colours, fish, dogs, and kites don`t seem important to the adults, who are much more interested in things like homework, marks, and neatness. Ishaan cannot seem to get anything right in class; he is then sent to boarding school, where his life changes forever.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fwXhw9bERqKrJfJK6WGakPIh3FS.jpg
1917;2019;At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/iZf0KyrE25z1sage4SYFLCCrMi9.jpg
Top Gun: Maverick;2022;After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/62HCnUTziyWcpDaBO2i1DX17ljH.jpg
Downfall;2004;Harold Crossley is a barrister and respected intellectual, but proves no match to his scheming young wife;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/nybZHYa8MvlQWchFwlGWGxDMprO.jpg
Dangal;2016;Dangal is an extraordinary true story based on the life of Mahavir Singh and his two daughters, Geeta and Babita Phogat. The film traces the inspirational journey of a father who trains his daughters to become world class wrestlers.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/p2lVAcPuRPSO8Al6hDDGw0OgMi8.jpg
For a Few Dollars More;1965;"Two bounty hunters are in pursuit of ""El Indio,"" one of the most wanted fugitives in the western territories, and his gang.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/ooqASvA7qxlTVKL3KwOzBwy57Dh.jpg
Batman Begins;2005;Driven by tragedy, billionaire Bruce Wayne dedicates his life to uncovering and defeating the corruption that plagues his home, Gotham City.  Unable to work within the system, he instead creates a new identity, a symbol of fear for the criminal underworld - The Batman.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4MpN4kIEqUjW8OPtOQJXlTdHiJV.jpg
The Kid;1921;Powerful businessman Russ Duritz is self-absorbed and immersed in his work. But by the magic of the moon, he meets Rusty, a chubby, charming 8-year-old version of himself who can`t believe he could turn out so badly – with no life and no dog. With Rusty`s help, Russ is able to reconcile the person he used to dream of being with the man he`s actually become.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/jNfL8De5IDVIuUYsrNnmPxCQkz8.jpg
Some Like It Hot;1959;Two musicians witness a mob hit and struggle to find a way out of the city before they are found by the gangsters. Their only opportunity is to join an all-girl band as they leave on a tour. To make their getaway they must first disguise themselves as women, then keep their identities secret and deal with the problems this brings - such as an attractive bandmate and a very determined suitor.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/hVIKyTK13AvOGv7ICmJjK44DTzp.jpg
The Father;2020;A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pr3bEQ517uMb5loLvjFQi8uLAsp.jpg
All About Eve;1950;From the moment she glimpses her idol at the stage door, Eve Harrington is determined to take the reins of power away from the great actress Margo Channing. Eve maneuvers her way into Margo`s Broadway role, becomes a sensation and even causes turmoil in the lives of Margo`s director boyfriend, her playwright and his wife. Only the cynical drama critic sees through Eve, admiring her audacity and perfect pattern of deceit.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6numIZH6uR3NlJgY9m7nGH0jhs.jpg
The Wolf of Wall Street;2013;A New York stockbroker refuses to cooperate in a large securities fraud case involving corruption on Wall Street, corporate banking world and mob infiltration. Based on Jordan Belfort`s autobiography.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/34m2tygAYBGqA9MXKhRDtzYd4MR.jpg
Green Book;2018;Tony Lip, a bouncer in 1962, is hired to drive pianist Don Shirley on a tour through the Deep South in the days when African Americans, forced to find alternate accommodations and services due to segregation laws below the Mason-Dixon Line, relied on a guide called The Negro Motorist Green Book.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/7BsvSuDQuoqhWmU2fL7W2GOcZHU.jpg
Judgment at Nuremberg;1961;In 1947, four German judges who served on the bench during the Nazi regime face a military tribunal to answer charges of crimes against humanity. Chief Justice Haywood hears evidence and testimony not only from lead defendant Ernst Janning and his defense attorney Hans Rolfe, but also from the widow of a Nazi general, an idealistic U.S. Army captain and reluctant witness Irene Wallner.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/cqumfgd74ftVzOKJpFGOG64WlXL.jpg
Ran;1985;The movie follows Ran`s journey, whose main desire is to fulfill his potential. He is ready to deal with difficult experiences of not being accepted by his family and friends, physical and emotional changes, and even dangers to his health, but he is not willing to give up on himself and his happiness.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/FepaiApo8Yr6pNIZIeYG5kW06J.jpg
Casino;1995;"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he`s a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/6zEZY1htzRos2w0W3T7o7W1WJhp.jpg
The Truman Show;1998;Truman Burbank is the star of The Truman Show, a 24-hour-a-day reality TV show that broadcasts every aspect of his life without his knowledge. His entire life has been an unending soap opera for consumption by the rest of the world. And everyone he knows, including his wife and his best friend is really an actor, paid to be part of his life.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/vuza0WqY239yBXOadKlGwJsZJFE.jpg
There Will Be Blood;2007;Ruthless silver miner, turned oil prospector, Daniel Plainview, moves to oil-rich California. Using his son to project a trustworthy, family-man image, Plainview cons local landowners into selling him their valuable properties for a pittance. However, local preacher Eli Sunday suspects Plainview`s motives and intentions, starting a slow-burning feud that threatens both their lives.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/fa0RDkAlCec0STeMNAhPaF89q6U.jpg
Pan`s Labyrinth;2006;Living with her tyrannical stepfather in a new home with her pregnant mother, 10-year-old Ofelia feels alone until she explores a decaying labyrinth guarded by a mysterious faun who claims to know her destiny. If she wishes to return to her real father, Ofelia must complete three terrifying tasks.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/s8C4whhKtDaJvMDcyiMvx3BIF5F.jpg
Unforgiven;1992;William Munny is a retired, once-ruthless killer turned gentle widower and hog farmer. To help support his two motherless children, he accepts one last bounty-hunter mission to find the men who brutalized a prostitute. Joined by his former partner and a cocky greenhorn, he takes on a corrupt sheriff.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yKyLJmRAtyXEEYKOvPhKHXIcPq9.jpg
The Sixth Sense;1999;Following an unexpected tragedy, child psychologist Malcolm Crowe meets a nine year old boy named Cole Sear, who is hiding a dark secret.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4AfSDjjCy6T5LA1TMz0Lh2HlpRh.jpg
Shutter Island;2010;World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg
A Beautiful Mind;2001;John Nash is a brilliant but asocial mathematician fighting schizophrenia. After he accepts secret work in cryptography, his life takes a turn for the nightmarish.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/zwzWCmH72OSC9NA0ipoqw5Zjya8.jpg
Jurassic Park;1993;A wealthy entrepreneur secretly creates a theme park featuring living dinosaurs drawn from prehistoric DNA. Before opening day, he invites a team of experts and his two eager grandchildren to experience the park and help calm anxious investors. However, the park is anything but amusing as the security systems go off-line and the dinosaurs escape.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/oU7Oq2kFAAlGqbU4VoAE36g4hoI.jpg
Yojimbo;1961;A nameless ronin, or samurai with no master, enters a small village in feudal Japan where two rival businessmen are struggling for control of the local gambling trade. Taking the name Sanjuro Kuwabatake, the ronin convinces both silk merchant Tazaemon and sake merchant Tokuemon to hire him as a personal bodyguard, then artfully sets in motion a full-scale gang war between the two ambitious and unscrupulous men.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tN7kYPjRhDolpui9sc9Eq9n5b2O.jpg
The Treasure of the Sierra Madre;1948;Fred C. Dobbs and Bob Curtin, both down on their luck in Tampico, Mexico in 1925, meet up with a grizzled prospector named Howard and decide to join with him in search of gold in the wilds of central Mexico. Through enormous difficulties, they eventually succeed in finding gold, but bandits, the elements, and most especially greed threaten to turn their success into disaster.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pWcst7zVbi8Z8W6GFrdNE7HHRxL.jpg
Monty Python and the Holy Grail;1975;"King Arthur, accompanied by his squire, recruits his Knights of the Round Table, including Sir Bedevere the Wise, Sir Lancelot the Brave, Sir Robin the Not-Quite-So-Brave-As-Sir-Lancelot and Sir Galahad the Pure. On the way, Arthur battles the Black Knight who, despite having had all his limbs chopped off, insists he can still fight. They reach Camelot, but Arthur decides not  to enter, as ""it is a silly place"".";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/xZ0rC0kuIsjk6RncpNK73kwstEP.jpg
No Country for Old Men;2007;Llewelyn Moss stumbles upon dead bodies, $2 million and a hoard of heroin in a Texas desert, but methodical killer Anton Chigurh comes looking for it, with local sheriff Ed Tom Bell hot on his trail. The roles of prey and predator blur as the violent pursuit of money and justice collide.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bj1v6YKF8yHqA489VFfnQvOJpnc.jpg
Kill Bill: Vol. 1;2003;An assassin is shot by her ruthless employer, Bill, and other members of their assassination circle – but she lives to plot her vengeance.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/v7TaX8kXMXs5yFFGR41guUDNcnB.jpg
The Great Escape;1963;The Nazis, exasperated at the number of escapes from their prison camps by a relatively small number of Allied prisoners, relocate them to a high-security `escape-proof` camp to sit out the remainder of the war. Undaunted, the prisoners plan one of the most ambitious escape attempts of World War II. Based on a true story.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/gBH4H8UMFxl139HaLz6lRuvsel8.jpg
Rashomon;1950;Roman Porno from 1973.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/4HrdA8yAcZef8fw9qstzRz5NiLy.jpg
The Thing;1982;A team of American scientists investigate the empty, destroyed base of their Norwegian counterparts in Antarctica, only to discover a terrifying life force that can take the form of its prey.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/tzGY49kseSE9QAKk47uuDGwnSCu.jpg
Finding Nemo;2003;Nemo, an adventurous young clownfish, is unexpectedly taken from his Great Barrier Reef home to a dentist`s office aquarium. It`s up to his worrisome father Marlin and a friendly but forgetful fish Dory to bring Nemo home -- meeting vegetarian sharks, surfer dude turtles, hypnotic jellyfish, hungry seagulls, and more along the way.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/5lc6nQc0VhWFYFbNv016xze8Jvy.jpg
Spider-Man: No Way Home;2021;Peter Parker is unmasked and no longer able to separate his normal life from the high-stakes of being a super-hero. When he asks for help from Doctor Strange the stakes become even more dangerous, forcing him to discover what it truly means to be Spider-Man.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/uJYYizSuA9Y3DCs0qS4qWvHfZg4.jpg
The Elephant Man;1980;"A Victorian surgeon rescues a heavily disfigured man being mistreated by his ""owner"" as a side-show freak. Behind his monstrous façade, there is revealed a person of great intelligence and sensitivity. Based on the true story of Joseph Merrick (called John Merrick in the film), a severely deformed man in 19th century London.";https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rk2lKgEtjF9HO9N2UFMRc2cMGdj.jpg
Chinatown;1974;Private eye Jake Gittes lives off of the murky moral climate of sunbaked, pre-World War II Southern California. Hired by a beautiful socialite to investigate her husband`s extra-marital affair, Gittes is swept into a maelstrom of double dealings and deadly deceits, uncovering a web of personal and political scandals that come crashing together.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/mQJz8J4naOA7RmCtypTPjgXZIMY.jpg
V for Vendetta;2005;In a world in which Great Britain has become a fascist state, a masked vigilante known only as “V” conducts guerrilla warfare against the oppressive British government. When V rescues a young woman from the secret police, he finds in her an ally with whom he can continue his fight to free the people of Britain.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/1avD1JeaRiJX5M4ahPdZPypGoGN.jpg
Raging Bull;1980;The life of boxer Jake LaMotta, whose violence and temper that led him to the top in the ring destroyed his life outside of it.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/rEviyDWNbAFmvvCPlkMRPAGUElG.jpg
Gone with the Wind;1939;The spoiled daughter of a Georgia plantation owner conducts a tumultuous romance with a cynical profiteer during the American Civil War and Reconstruction Era.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/lNz2Ow0wGCAvzckW7EOjE03KcYv.jpg
Dial M for Murder;1954;An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan—to frame her for murder instead.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2gDCAgl2iBQNuJuk6p2xtuS1ewg.jpg
Lock, Stock and Two Smoking Barrels;1998;A card shark and his unwillingly-enlisted friends need to make a lot of cash quick after losing a sketchy poker match. To do this they decide to pull a heist on a small-time gang who happen to be operating out of the flat next door.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/8kSerJrhrJWKLk1LViesGcnrUPE.jpg
Inside Out;2015;Growing up can be a bumpy road, and it`s no exception for Riley, who is uprooted from her Midwest life when her father starts a new job in San Francisco. Riley`s guiding emotions— Joy, Fear, Anger, Disgust and Sadness—live in Headquarters, the control centre inside Riley`s mind, where they help advise her through everyday life and tries to keep things positive, but the emotions conflict on how best to navigate a new city, house and school.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/2H1TmgdfNtsKlU9jKdeNyYL5y8T.jpg
Howl`s Moving Castle;2004;When Sophie, a shy young woman, is cursed with an old body by a spiteful witch, her only chance of breaking the spell lies with a self-indulgent yet insecure young wizard and his companions in his legged, walking castle.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/yeJ5Nj1k2NA0bBZjkZ10PvQKjTD.jpg
The Secret in Their Eyes;2009;A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt him decades later.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/r3FctmAMk2tbrwxuWdpeLrZLwIz.jpg
Three Billboards Outside Ebbing, Missouri;2017;After seven months have passed without a culprit in her daughter`s murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at Bill Willoughby, the town`s revered chief of police. When his second-in-command Officer Jason Dixon, an immature mother`s boy with a penchant for violence, gets involved, the battle between Mildred and Ebbing`s law enforcement is only exacerbated.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/pZRhqJj0DBy4ghB7g6pU7MGHsWJ.jpg
Trainspotting;1996;Heroin addict Mark Renton stumbles through bad ideas and sobriety attempts with his unreliable friends -- Sick Boy, Begbie, Spud and Tommy. He also has an underage girlfriend, Diane, along for the ride. After cleaning up and moving from Edinburgh to London, Mark finds he can`t escape the life he left behind when Begbie shows up at his front door on the lam, and a scheming Sick Boy follows.;https://www.themoviedb.org/t/p/w600_and_h900_bestv2/bhY62Dw8iW54DIhxPQerbuB9DOP.jpg
