Role;movie_id;artist_id
Actor;139;208
Actor;139;30
Director;140;87
Actor;140;87
Actor;140;164
Director;141;311
Actor;141;54
Actor;141;187
Director;142;330
Actor;142;301
Actor;142;132
Director;143;422
Actor;143;425
Actor;143;115
Director;144;455
Actor;144;431
Actor;144;291
Director;145;5
Actor;145;489
Actor;145;120
Director;146;253
Actor;146;202
Actor;146;503
Director;147;467
Actor;147;179
Actor;147;248
Director;148;138
Actor;148;485
Actor;148;230
Director;149;394
Actor;149;493
Actor;149;102
Director;150;257
Actor;150;454
Actor;150;218
Director;151;5
Actor;151;489
Actor;151;312
Director;152;247
Actor;152;287
Actor;152;506
Director;153;22
Actor;153;9
Actor;153;128
Director;154;260
Actor;154;481
Actor;154;522
Director;155;105
Actor;155;27
Actor;155;252
Director;156;420
Actor;156;213
Actor;156;145
Director;157;220
Actor;157;201
Actor;157;362
Director;158;330
Actor;158;408
Actor;158;64
Director;159;494
Actor;159;85
Actor;159;502
Director;160;17
Actor;160;400
Actor;160;178
Director;161;185
Actor;161;227
Actor;161;110
Director;162;383
Actor;162;19
Actor;162;41
Director;163;192
Actor;163;72
Actor;163;462
Director;164;268
Actor;164;401
Actor;164;446
Director;165;329
Actor;165;150
Actor;165;512
Director;166;97
Actor;166;142
Actor;166;143
Director;167;104
Actor;167;509
Actor;167;11
Director;168;109
Actor;168;200
Actor;168;215
Director;169;163
Actor;169;480
Actor;169;363
Director;170;246
Actor;170;508
Actor;170;150
Director;171;87
Actor;171;87
Actor;171;36
Director;172;455
Actor;172;301
Actor;172;479
Director;173;192
Actor;173;198
Actor;173;367
Director;174;87
Actor;174;197
Actor;174;87
Director;175;317
Actor;175;356
Actor;175;18
Director;176;405
Actor;176;189
Actor;176;426
Director;177;67
Actor;177;67
Actor;177;313
Director;178;439
Actor;178;228
Actor;178;209
Director;179;106
Actor;179;96
Actor;179;134
Director;180;403
Actor;180;139
Actor;180;271
Director;181;454
Actor;181;75
Actor;181;350
Director;182;510
Actor;182;71
Actor;182;211
Director;183;504
Actor;183;397
Actor;183;144
Director;184;124
Actor;184;328
Actor;184;275
Director;185;103
Actor;185;37
Actor;185;423
Director;186;204
Actor;186;495
Actor;186;40
Director;187;88
Actor;187;58
Actor;187;323
Director;188;453
Actor;188;427
Actor;188;324
Director;189;65
Actor;189;279
Actor;189;292
Director;190;241
Actor;190;95
Actor;190;384
Director;191;345
Actor;191;408
Actor;191;84
Director;192;342
Actor;192;21
Actor;192;432
Director;193;60
Actor;193;374
Actor;193;264
Director;194;194
Actor;194;519
Actor;194;68
Director;195;46
Actor;195;447
Actor;195;285
Director;196;92
Actor;196;100
Actor;196;334
Director;197;58
Actor;197;58
Actor;197;278
Director;198;152
Actor;198;221
Actor;198;232
Director;199;171
Actor;199;480
Actor;199;70
Director;200;2
Actor;200;486
Actor;200;391
Director;201;107
Actor;201;231
Actor;201;173
Director;202;204
Actor;202;341
Actor;202;182
Director;203;383
Actor;203;43
Actor;203;251
Director;204;390
Actor;204;417
Actor;204;412
Director;205;455
Actor;205;424
Actor;205;413
Director;206;300
Actor;206;52
Actor;206;214
Director;207;246
Actor;207;237
Actor;207;251
Director;208;513
Actor;208;74
Actor;208;73
Director;209;59
Actor;209;321
Actor;209;140
Director;210;219
Actor;210;337
Actor;210;79
Director;211;466
Actor;211;112
Actor;211;449
Director;212;250
Actor;212;459
Actor;212;463
Director;213;47
Actor;213;48
Actor;213;307
Director;214;370
Actor;214;69
Actor;214;477
Director;215;483
Actor;215;326
Actor;215;349
Director;216;219
Actor;216;200
Actor;216;377
Director;217;217
Actor;217;31
Actor;217;305
Director;218;407
Actor;218;505
Actor;218;406
Director;219;422
Actor;219;94
Actor;219;78
Director;220;444
Actor;220;145
Actor;220;509
Director;221;403
Actor;221;139
Actor;221;271
Director;222;437
Actor;222;130
Actor;222;497
Director;223;494
Actor;223;269
Actor;223;154
Director;224;510
Actor;224;359
Actor;224;93
Director;225;507
Actor;225;127
Actor;225;341
Director;226;188
Actor;226;42
Actor;226;20
Director;227;47
Actor;227;89
Actor;227;433
Director;228;336
Actor;228;498
Actor;228;199
Director;229;137
Actor;229;61
Actor;229;210
Director;230;177
Actor;230;259
Actor;230;166
Director;231;290
Actor;231;402
Actor;231;242
Director;232;174
Actor;232;50
Actor;232;233
Director;233;434
Actor;233;273
Actor;233;276
Director;234;249
Actor;234;195
Actor;234;224
Director;235;523
Actor;235;524
Actor;235;147
Director;236;12
Actor;236;131
Actor;236;160
Director;237;460
Actor;237;457
Actor;237;303
Director;238;17
Actor;238;293
Actor;238;243
Director;239;375
Actor;239;283
Actor;239;186
Director;240;456
Actor;240;379
Actor;240;168
Director;241;414
Actor;241;270
Actor;241;83
Director;242;152
Actor;242;85
Actor;242;86
Director;243;156
Actor;243;236
Actor;243;10
Director;244;204
Actor;244;40
Actor;244;306
Director;245;468
Actor;245;179
Actor;245;248
Director;246;47
Actor;246;122
