First Name;Last Name
Martin;McDonagh
Martin;Scorsese
Martin;Sheen
Martina;Gedeck
Mary;McDonnell
Mar�a;Marull
Masaki;Kobayashi
Mathieu;Kassovitz
Matt;Damon
Matthew;Broderick
Matthew;McConaughey
Matthew;Modine
Max;Sydow
Mel;Gibson
Michael;Biehn
Michael;Caine
Michael;Cimino
Michael;Duncan
Michael;Curtiz
Michael;Fox
Michael;Keaton
Michael;Williams
Michael;Mann
Michel;Gondry
Michelle;Pfeiffer
Miles;Teller
Milos;Forman
Mohammad;Naji
Mone;Kamishiraishi
Morgan;Freeman
Myrna;Loy
M�lissa;D�sormeaux-Poulin
Nadine;Labaki
Natalie;Portman
Nick;Nolte
Nicoletta;Braschi
Nitesh;Tiwari
Nobuo;Kaneko
Noriko;Hidaka
Olga;Mironova
Oliver;Hirschbiegel
Oliver;Stone
Olivia;Colman
Olivier;Nakache
Omar;Sy
Orson;Welles
Park;Chan-wook
Patrick;Magee
Patrick;Stewart
Paul;Dano
Paul;Newman
Paul;Anderson
Paulette;Goddard
Payman;Maadi
Pete;Docter
Pete;Postlethwaite
Peter;Farrelly
Peter;Jackson
Peter;Lorre
Peter;O'Toole
Peter;Sellers
Peter;Weir
Philip;Hoffman
Philippe;Noiret
Phillipa;Soo
Quentin;Tarantino
R.;Ermey
Rajkumar;Hirani
Ralph;Fiennes
Ralph;Meeker
Ray;Liotta
Ray;Milland
Ricardo;Dar�n
Richard;Gere
Richard;Linklater
Richard;Marquand
Ridley;Scott
River;Phoenix
Rob;Reiner
Robert;Niro
Robert;Jr.
Robert;Mulligan
Robert;Redford
Robert;Leonard
Robert;Shaw
Robert;Wise
Robert;Zemeckis
Roberto;Benigni
Robin;Williams
Robin;Wright
Roger;Allers
Roman;Polanski
Ron;Clements
Ron;Howard
Rosamund;Pike
Roy;Scheider
Russell;Crowe
Rutger;Hauer
Ryan;O'Neal
Ryunosuke;Kamiki
Sakshi;Tanwar
Sam;Mendes
Sam;Neill
Sam;Worthington
Samuel;Jackson
Satyajit;Ray
Scott;Weinger
Sean;Connery
Sean;Penn
Sergio;Leone
Sergio;Pablos
Shameik;Moore
Sharon;Stone
Shelley;Duvall
Shirley;MacLaine
Sidney;Lumet
Sigourney;Weaver
Soledad;Villamil
Song;Kang-ho
Sophie;Marceau
Sophie;Okonedo
Spencer;Tracy
Stanley;Donen
Stanley;Kramer
Stanley;Kubrick
Steve;McQueen
Steven;Spielberg
Stuart;Rosenberg
Suriya;Suriya
Suzanne;Pleshette
Sylvester;Stallone
T.J.;Gnanavel
Takashi;Shimura
Takuya;Kimura
Talia;Shire
Tate;Taylor
Tatsuya;Nakadai
Terry;George
Terry;Gilliam
Terry;Jones
Thomas;Larsen
Thomas;Kail
Thomas;Kretschmann
Thomas;Vinterberg
Tim;Allen
Tim;Robbins
Tim;Roth
Todd;Phillips
Tom;Berenger
Tom;Cruise
Tom;Hanks
Tom;Hardy
Tom;Holland
Tom;Hulce
Tom;McCarthy
Tom;Skerritt
Tommy;Jones
Toni;Collette
Tony;Curtis
Tony;Kaye
Toshir�;Mifune
Tsutomu;Tatsumi
Tyrone;Power
Ulrich;M�he
Uma;Thurman
Victor;Fleming
Victor;Sj�str�m
Viggo;Mortensen
Vince;Vaughn
Vincent;Cassel
Viola;Davis
Virginia;Cherrill
Vittorio;Sica
Vivien;Leigh
Walter;Huston
Wes;Anderson
Wil;Wheaton
Wilford;Brimley
William;Friedkin
William;Macy
William;Holden
William;Wyler
Wolfgang;Petersen
Woody;Harrelson
Yasujir�;Ozu
Yoo;Ji-tae
Yordanos;Shiferaw
Yuriko;Ishida
Yuriy;Solomin
Yutaka;Sada
Yves;Montand
Y�ji;Matsuda
Zain;Rafeea
Zendaya;Zendaya
�agan;Irmak
�etin;Tekindor
